a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label
R_1l3OgnUojK96LJf_q4_a,No because many factors can go into why one fisherman caught bigger fish than the other such as location of the larger fish at the time of the trip.,q4_a,,,1,,1,1,0,1,0,1
R_1l3OgnUojK96LJf_q3_b,"To decide whether or not to keep the order, the engineer should check each of the display screens and make sure they are in working order and could the ones that are not. If it is more than 5% of 150, or 7.5 screens do not work then they should reject the order.",q3_b,,,2,,1,1,0,1,0,2
R_1l3OgnUojK96LJf_q3_a,No because the orders are all independent of each other. If the last order had more than 5% that has nothing to do with the next order being good or not.,q3_a,,,1,,1,1,0,1,0,1
R_1l3OgnUojK96LJf_q2_b,If Carla has a higher score than the average mean then she would be considered as having a good ear for music.,q2_b,,,1,,1,1,0,1,0,1
R_1l3OgnUojK96LJf_q2_a,In order to determine the percent of the notes that Carla could correctly identify. You should use statistical significance to see how she compares to the average person.,q2_a,,,2,,1,1,0,1,0,2
R_1Kxv1joisWwlZ51_q4_b,"For example, the walleye in one area where Dan fishes may be larger on average than in the area where Mark is fishing.",q4_b,0,,,,1,1,0,1,0,0
R_1Kxv1joisWwlZ51_q4_a,"No, variances in the walleye populations themselves could have an impact on the experiment.",q4_a,0,,,,1,1,0,1,0,0
R_1Kxv1joisWwlZ51_q3_b,"If greater than 5% of the screens are deemed to be bad by the testing engineer, the order should be rejected.",q3_b,2,,,,1,1,0,1,0,2
R_1Kxv1joisWwlZ51_q3_a,"Yes, an engineer can run a test to decide if the screens are good or bad and calculate whether or not more than 5% of the order is bad.",q3_a,1,,,,1,1,0,1,0,1
R_1Kxv1joisWwlZ51_q2_b,"I would sample all notes separately and ask students to identify each note, rather than a single note. This would eliminate the ""luck"" factor of simply using a single note.",q2_b,1,,,,1,1,0,1,0,1
R_1Kxv1joisWwlZ51_q2_a,"No, there are far too many other variables involved with this method.",q2_a,0,,,,1,1,0,1,0,0
R_1kNWJw8G1sE8kB9_q4_b,Sum all fish lenghts caught by Mark and divide them by N1.  / Sum all fish lenghts caught by Dank and divide them by N2.  /  / Compare the two mean lenghts.,q4_b,,1,,,1,1,0,1,0,1
R_1kNWJw8G1sE8kB9_q4_a,"Here, a single comparison of the two means should be sufficient. It's more descriptive statistics than statistical inference",q4_a,,1,,,1,1,0,1,0,1
R_1kNWJw8G1sE8kB9_q3_b,"There is no statistical approach here, it is only necessary to see if the number of damaged parts is above or below 7,5 and consequently accept or stop the order.",q3_b,,2,,,1,1,0,1,0,2
R_1kNWJw8G1sE8kB9_q3_a,"Here, it only seems matter of simple calculations. If more of 5% of the stock is damaged, the company will reject the order, if less than 5% is damaged, the company will accept the order. There's nothing to infer, only the calculation of how many pieces out of 150 parts constitute the 5% is to be done.",q3_a,,2,,,1,1,0,1,0,2
R_1kNWJw8G1sE8kB9_q2_b,"Even if not optimal, we can determine a standard level of probability for an individual to guess the right note. From this, it is possible to generate random repetition of  the test based on the probability. It is possible to compare Carla's score to the random generated ones, to see how good does she score at the test, determining a P-value of 0.5 However, this method is biased since we decide in the first place which proportion of guessing constitues a good hearing.",q2_b,,2,,,1,1,0,1,0,2
R_1kNWJw8G1sE8kB9_q2_a,"Statistical Inference is not the best method since we don't have a value or a proportion corresponding to "" good ear in music"" and therefore we don't have a term of comparison.",q2_a,,1,,,1,1,0,1,0,1
R_1kN3IuEFx9kGrZp_q4_b,Collect how many fish they both catch and get the percentage.,q4_b,,,0,,1,1,0,1,0,0
R_1kN3IuEFx9kGrZp_q4_a,"Yes, because data can be gathered from the fish they catch.",q4_a,,,1,,1,1,0,1,0,1
R_1kN3IuEFx9kGrZp_q3_b,If the hypothesis test is greater than .05 then the order is rejected.,q3_b,,,0,,1,1,0,1,0,0
R_1kN3IuEFx9kGrZp_q3_a,"Yes, because you can determine if the 5% is broken and reject it.",q3_a,,,0,,1,1,0,1,0,0
R_1kN3IuEFx9kGrZp_q2_b,You would give her a test by having her guess which musical note is being played and note her accuracy.,q2_b,,,1,,1,1,0,1,0,1
R_1kN3IuEFx9kGrZp_q2_a,"Yes, because you can infer her skills by study her accuracy at determining musical notes.",q2_a,,,2,,1,1,0,1,0,2
R_1Kkgt0EsZm07Plp_q4_b,"Whoever catches more fish over a long period of time is most likely the better fisherman. the more trips, the more accurate the study will be.",q4_b,,,0,,1,1,0,1,0,0
R_1Kkgt0EsZm07Plp_q4_a,Yes it should be used to determine if Mark or Dan is better by testing to see who can catch more fish over a long period of time. This experiment needs to be long-run.,q4_a,,,1,,1,1,0,1,0,1
R_1Kkgt0EsZm07Plp_q3_b,I would decide whether the electronics comapany should accept it by seeing that more than 5% of the screens are bad,q3_b,,,2,,1,1,0,1,0,2
R_1Kkgt0EsZm07Plp_q3_a,Yes it should be used because the number of bad models would give the purchaser a good idea in to whether buy the bulk order or not.,q3_a,,,1,,1,1,0,1,0,1
R_1Kkgt0EsZm07Plp_q2_b,I can decide if she has a good ear by comparing her average to the other students,q2_b,,,1,,1,1,0,1,0,1
R_1Kkgt0EsZm07Plp_q2_a,"Yes, it is easy to tell if Carla has a good ear for music by seeing weather she has a higher average on getting the notes correctly than her peers. You can compare her skills to other student by using statistical inference",q2_a,,,2,,1,1,0,1,0,2
R_1Kk96riJ6lNQMLj_q4_b,I would put the data into Excel and have it calculate the averages/means. I would then use the t-distribution and compare the p-value to determine significance,q4_b,2,,,,1,1,0,1,0,2
R_1Kk96riJ6lNQMLj_q4_a,This should be used because they can calculate the significance in the difference in the average length of fish caught.,q4_a,2,,,,1,1,0,1,0,2
R_1Kk96riJ6lNQMLj_q3_b,I would enter the data into Excel and use a t distribution with 149 degrees of freedom.,q3_b,0,,,,1,1,0,1,0,0
R_1Kk96riJ6lNQMLj_q3_a,Accept because the test should include a representative sample of the population and be accurate to the entire group.,q3_a,0,,,,1,1,0,1,0,0
R_1Kk96riJ6lNQMLj_q2_b,"If I were to use this method, I would have each student identify 50 notes on varying octaves. I would then divide the number that the student got correct by 50 and if they're percentage was greater than 50%, it is reasonable to believe that that individual has some level of musical inclination",q2_b,1,,,,1,1,0,1,0,1
R_1Kk96riJ6lNQMLj_q2_a,"No because there is unlikely a ""normal"" curve about musical note identification",q2_a,0,,,,1,1,0,1,0,0
R_1kF8OGFobZD3hBt_q4_b,"1. Record the lengths of the fish they caught / 2. Find the averages of those fish, whoever has the highest wins. /",q4_b,,,1,,1,1,0,1,0,1
R_1kF8OGFobZD3hBt_q4_a,"Yeah, you can objectively measure who caught the bigger fish very easily.",q4_a,,,1,,1,1,0,1,0,1
