a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label
R_2Wx3wwDZCWEsxlv_q4_a,Use a two-sample t-test to compare the average between the two men,q4_a,,2,2,,2,1,0,2,0,2
R_2Wx3wwDZCWEsxlv_q3_b,Using a one-sample z-test to determine the proportion of screen in the sample that are defective.  / The null parameter would be 0.05 and the observed proportion will be determined by the data from the engineer. Use the z-value from the test to determine the p-value and compare to 0.05 to determine if enough screen are defective to return the entire shipment.,q3_b,,1,1,,2,1,0,2,0,1
R_2Wx3wwDZCWEsxlv_q3_a,You can use statistical inference but you can also reach he same conclusion by basic math principles.,q3_a,,0,0,,2,1,0,2,0,0
R_2Wx3wwDZCWEsxlv_q2_b,Once a standard for 'good ear for music' has been established you can perform a t-test to determine the differences of scores among a group of subjects using a t-test.  /,q2_b,,1,1,,2,1,0,2,0,1
R_2Wx3wwDZCWEsxlv_q2_a,Would first need to establish how many out of 7 notes identified correctly would be considered as qualifying as a 'good ear for music'. /,q2_a,,1,1,,2,1,0,2,0,1
R_2WOQIItRXQ6OQP0_q4_b,count number of fish caught then calculate the mean and compare,q4_b,,1,1,,2,1,0,2,0,1
R_2WOQIItRXQ6OQP0_q4_a,find and compare the avg or mean difference between the two,q4_a,,1,1,,2,1,0,2,0,1
R_2WOQIItRXQ6OQP0_q3_b,P(A) # of favorable outcomes divided by total number of outcomes,q3_b,,0,0,,2,1,0,2,0,0
R_2WOQIItRXQ6OQP0_q3_a,Yes; you would find out the probability of event A happening,q3_a,,0,0,,2,1,0,2,0,0
R_2WOQIItRXQ6OQP0_q2_b,By asking the student to verbally repeat the notes heard on piano and to state what those notes are.,q2_b,,0,0,,2,1,0,2,0,0
R_2WOQIItRXQ6OQP0_q2_a,No; one reason is because you are only dealing with one sample. it would be ridiculous to use statistical inference.,q2_a,,0,0,,2,1,0,2,0,0
R_2wnPMQSDkfYXyQ6_q4_b,I would take the averages of both of their fish lengths and see which of them has the larger average.,q4_b,,,1,1,2,1,0,2,0,1
R_2wnPMQSDkfYXyQ6_q4_a,"No, it doesn't make sense to. They just want to know who catches larger fish between the two of them. Statistical inference is used to make inferences about populations.",q4_a,,,0,0,2,1,0,2,0,0
R_2wnPMQSDkfYXyQ6_q3_b,"5% of 150 is 7.5 and rounded up to a whole number it's 8. Therefore, if the engineer finds that more than 8 of the screens are bad the company should reject the bulk order for a refund.",q3_b,,,2,2,2,1,0,2,0,2
R_2wnPMQSDkfYXyQ6_q3_a,"Statistical inference should not be used in this situation. The engineer is going to test ""each of the 150 display screens"" to decide if it is good or bad. It doesn't make sense to use statistical inference if they engineer is going to look at every screen anyway.",q3_a,,,2,2,2,1,0,2,0,2
R_2wnPMQSDkfYXyQ6_q2_b,"I would play notes one at a time for the student, and if they get them all right I would say they have a good ear for music. I might give them some leeway (such as getting them right 97% of the time) just because we're human and sometimes we make mistakes.",q2_b,,,1,1,2,1,0,2,0,1
R_2wnPMQSDkfYXyQ6_q2_a,"No, you shouldn't use statistical inference because Carla can either name what note is being played or she can't. Statistical inference is used to identify and compare variations in groups and individuals. Carla isn't going to have any variation unless she is learning the notes. If she has a good ear for music, she is going to know when the teacher plays a B every time that it is a B. There isn't really a chance that she'll ""miss"" it the next time, unlike shooting free throws for example.",q2_a,,,0,1,2,2,1,1,1,0
R_2wi7FO5pthmTimt_q4_b,"If I were to use the data from the fishing, I would look at where the combined average of fish lengths falls amongst the fishing data to see who is the better fisherman.",q4_b,1,,,1,2,1,0,2,0,1
R_2wi7FO5pthmTimt_q4_a,"No because ultimately there are far to many variable that can not be accounted for in the situation like weather, and ultimately a certain amount of luck.",q4_a,0,,,0,2,1,0,2,0,0
R_2wi7FO5pthmTimt_q3_b,"I would reject the shipment if it is lower and accept if it is on par or lower; however, this fails to account for possible cost differences that may make the a higher number of bad screens justifiable.",q3_b,0,,,0,2,1,0,2,0,0
R_2wi7FO5pthmTimt_q3_a,"I would use the statistical inference to decide if the number of bad screens is significantly higher, on par, or lower than the industry average.",q3_a,0,,,1,2,2,1,1,1,0
R_2wi7FO5pthmTimt_q2_b,"I would determine if she had a good ear for music using the 68-95-99.7 rule. After finding the mean and standard deviation I would look at how many deviations she is above the mean and if she was two deviations away it would mean that she is in the top 2.5% of the population because the 68-95-99.7 rule states that within one standard deviation of mean 68% of the data will be collected, 2 deviations will 95%, and 3 deviations 99.7%.",q2_b,1,,,1,2,1,0,2,0,1
R_2wi7FO5pthmTimt_q2_a,Yes the statistical inference should be used to determine whether Carla has a good ear for music because it allows us to set a benchmark to see if she is above or below the average and by how much.,q2_a,1,,,1,2,1,0,2,0,1
R_2VJynlymnbSy3Ys_q4_b,"Looking at all the other given information like the weather, currents, etc and how often Mark or Dan caught the bigger fish is how I would determine who is the better Walleye fisherman.",q4_b,0,0,,,2,1,0,2,0,0
R_2VJynlymnbSy3Ys_q4_a,"Information including the water currents, geographic features, bait, and feeding patterns of the fish and more with statistical inference should be used to determine whiter Mark or Dan is a better Walleye fisherman.",q4_a,1,0,,,2,2,1,1,1,0
R_2VJynlymnbSy3Ys_q3_b,Comparing data to previous build orders and how many were deffective or properly working would help me decide whether or not they should reject or accept them.,q3_b,0,0,,,2,1,0,2,0,0
R_2VJynlymnbSy3Ys_q3_a,Yes I believe that statistical inference should be used to determine whether the company should accept or reject the build order of display screens.,q3_a,0,0,,,2,1,0,2,0,0
